sex,age,"weeklystudytime(numeric: 1 - <5 hours, 2 - 5 to 10 hours, 3 - 10 to 20 hours, or 4 - >20 hours)",failures,activities,absences,G1,G2,G3
F,18,2,0,no,6,5,6,6
F,17,2,0,no,4,5,5,6
F,15,2,3,no,10,7,8,10
F,15,3,0,yes,2,15,14,15
F,16,2,0,no,4,6,10,10
M,16,2,0,yes,10,15,15,15
M,16,2,0,no,0,12,12,11
F,17,2,0,no,6,6,5,6
M,15,2,0,no,0,16,18,19
M,15,2,0,yes,0,14,15,15
F,15,2,0,no,0,10,8,9
F,15,3,0,yes,4,10,12,12
M,15,1,0,yes,2,14,14,14
M,15,2,0,no,2,10,10,11
M,15,3,0,no,0,14,16,16
F,16,1,0,no,4,14,14,14
F,16,3,0,yes,6,13,14,14
F,16,2,0,yes,4,8,10,10
M,17,1,3,yes,16,6,5,5
M,16,1,0,yes,4,8,10,10
M,15,2,0,no,0,13,14,15
M,15,1,0,no,0,12,15,15
M,16,2,0,yes,2,15,15,16
M,16,2,0,yes,0,13,13,12
F,15,3,0,yes,2,10,9,8
F,16,1,2,no,14,6,9,8
M,15,1,0,no,2,12,12,11
M,15,1,0,no,4,15,16,15
M,16,2,0,yes,4,11,11,11
M,16,2,0,yes,16,10,12,11
M,15,2,0,no,0,9,11,12
M,15,2,0,yes,0,17,16,17
M,15,2,0,yes,0,17,16,16
M,15,2,0,yes,0,8,10,12
M,16,1,0,no,0,12,14,15
F,15,1,0,yes,0,8,7,6
M,15,3,0,yes,2,15,16,18
M,16,3,0,yes,7,15,16,15
F,15,3,0,yes,2,12,12,11
F,15,1,0,yes,8,14,13,13
F,16,2,1,yes,25,7,10,11
M,15,1,0,no,8,12,12,12
M,15,2,0,yes,2,19,18,18
M,15,1,0,no,0,8,8,11
F,16,2,1,yes,14,10,10,9
F,15,2,0,yes,8,8,8,6
F,16,2,0,no,12,11,12,11
M,16,4,0,yes,4,19,19,20
M,15,2,0,no,2,15,15,14
F,15,2,1,yes,2,7,7,7
F,16,2,0,no,2,12,13,13
F,15,2,0,no,2,11,13,13
M,15,1,1,no,6,11,11,10
F,15,1,0,no,0,8,10,11
F,15,1,0,no,6,10,13,13
F,16,2,0,yes,8,8,9,10
F,15,2,0,yes,0,14,15,15
M,15,2,0,yes,4,14,15,15
M,15,2,0,yes,2,9,10,9
F,16,2,0,no,2,15,16,16
F,16,2,0,yes,6,10,11,11
F,16,1,0,yes,6,10,8,11
F,16,2,0,yes,4,8,10,9
F,16,3,0,yes,2,10,9,9
F,15,2,0,yes,0,10,10,10
F,16,2,0,yes,2,16,15,15
M,15,4,0,yes,4,13,13,12
F,16,4,0,no,4,7,7,6
F,15,2,0,no,2,8,9,8
F,15,4,0,no,12,16,16,16
M,16,4,0,no,0,13,15,15
M,15,4,0,no,0,10,10,10
